customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Male,0,Yes,No,37,Yes,No phone service,No,Yes,No internet service,One year,Yes,Mailed check,104.8,3864.44,No
C00001,Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,45.2,2783.44,No
C00002,Male,0,Yes,No,34,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Electronic check,106.87,3614.36,Yes
C00003,Male,0,No,No,70,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.72,5895.11,No
C00004,Male,0,Yes,Yes,17,Yes,No phone service,DSL,No,Yes,Month-to-month,Yes,Mailed check,47.55,863.84,No
C00005,Female,0,No,No,20,Yes,No,DSL,No,Yes,Two year,No,Mailed check,118.7,2389.62,No
C00006,Male,0,No,No,59,Yes,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,114.92,6817.61,Yes
C00007,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,76.59,5274.4,No
C00008,Male,0,No,No,33,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Electronic check,104.01,3472.54,No
C00009,Female,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),44.67,706.26,Yes
C00010,Male,0,Yes,No,57,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Mailed check,60.44,3399.91,No
C00011,Male,0,Yes,No,1,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,36.77,83.88,No
C00012,Male,1,No,No,13,Yes,No phone service,No,Yes,No,Month-to-month,No,Electronic check,71.05,920.14,No
C00013,Male,0,No,No,27,Yes,No,DSL,No internet service,Yes,Month-to-month,No,Electronic check,68.59,1839.6,No
C00014,Female,0,Yes,No,70,Yes,No phone service,No,Yes,Yes,Two year,No,Mailed check,39.71,2733.72,No
C00015,Male,0,Yes,No,59,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),86.63,5151.39,Yes
C00016,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Bank transfer (automatic),30.01,273.33,No
C00017,Female,1,No,No,23,Yes,No phone service,Fiber optic,Yes,No internet service,One year,Yes,Bank transfer (automatic),24.29,589.05,No
C00018,Female,0,No,No,10,No,No,Fiber optic,No internet service,No internet service,Two year,No,Mailed check,57.26,550.14,No
C00019,Male,1,Yes,Yes,51,Yes,No phone service,DSL,No,No internet service,One year,Yes,Bank transfer (automatic),59.8,3119.14,No
C00020,Female,0,Yes,No,19,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.61,979.56,No
C00021,Male,1,Yes,No,51,No,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.31,2238.16,No
C00022,Female,0,Yes,No,68,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),52.56,3637.86,No
C00023,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,No internet service,Yes,One year,No,Electronic check,34.66,1446.7,No
